,London,Paris,Berlin,Rome,Madrid,Vienna ,Amsterdam,Brussels,Zurich,Lisbon,Stockholm,Oslo,Copenhagen,Helsinki,Dublin,Warsaw,Budapest,Prague,Athens,Brastislava,Ljubljana,Zagreb,Belgrade,Sofia,Bucharest,Tallinn,Riga,Vilnius,Sarajevo,Skopje,Podgorica,Tirana,Nicosia,Genebra,Dubrovnik,Vaduz,Chisinau,Reykjavik,Valleta,Luxembourg City,Monaco,Andorra la Vella,San Marino,Munich,Manchester,Seville,Milan,Nice,Porto ,Istambul,
Dublin,1h15,1h40,2h30,3h15,2h40,3h,1h40,1h45,2h20,2h50,2h50,2h30,2h25,3h20,N/A,3h05,3h15,2h35,3h10,3h,N/A,3h10,N/A,4h,4h05,3h20,3h25,3h25,N/A,N/A,N/A,N/A,N/A,2h20,N/A,2h20,4h,2h40,4h,1h55,2h40,2h45,3h,2h40,1h,3h,2h35,2h45,2h25,4h35,Dublin
Warsaw,2h15,2h10,1h10,2h30,3h35,1h15,2h,1h55,1h50,4h,1h35,2h,1h20,1h40,2h45,N/A,1h15,1h15,1h35,1h15,1h35,1h35,1h40,2h,1h50,1h40,1h20,1h05,N/A,2h05,2h,2h05,3h40,2h10,1h55,1h50,2h,4h05,3h,1h50,2h10,3h05,2h,1h30,2h25,3h55,3h,2h10,N/A,2h35,Warsaw
Budapest,2h20,2h10,1h30,1h50,3h05,0h55,1h55,1h55,1h35,3h45,2h20,2h25,1h45,2h25,2h55,1h20,N/A,1h10,N/A,0h55,N/A,N/A,0h55,1h25,1h45,N/A,N/A,N/A,N/A,1h25,1h20,1h35,3h20,1h50,N/A,1h35,1h35,4h30,2h15,N/A,1h55,2h35,1h25,1h15,2h35,3h25,1h35,1h55,3h20,2h05,Budapest
Prague,1h50,1h45,N/A,1h50,2h50,0h50,1h30,1h25,1h20,3h25,1h55,2h,1h20,2h15,2h20,1h20,1h15,N/A,N/A,1h05,N/A,N/A,2h10,2h,1h55,N/A,1h55,N/A,N/A,N/A,N/A,2h10,3h55,1h35,N/A,1h20,2h,N/A,N/A,1h25,1h40,2h30,1h40,0h50,2h,3h20,1h25,N/A,N/A,2h45,Prague
Athens,3h25,3h10,2h45,2h,3h25,2h10,3h20,3h,2h30,3h55,3h30,3h45,3h05,3h35,4h10,2h30,2h,2h25,N/A,2h05,N/A,1h50,1h30,1h15,1h35,N/A,3h20,N/A,N/A,N/A,N/A,1h10,1h45,2h45,N/A,2h35,1h55,N/A,1h35,2h50,2h25,2h50,2h05,2h25,3h55,N/A,2h20,2h25,N/A,1h25,Athens
Brastislava,2h10,1h55,1h15,1h40,2h55,N/A,1h40,1h40,1h20,3h30,2h15,2h20,1h45,2h30,2h40,1h15,1h,0h55,0h55,N/A,N/A,0h55,1h15,1h35,1h40,2h25,2h,1h50,1h15,1h35,1h25,1h35,3h25,1h35,1h20,1h20,1h45,4h15,2h20,1h50,1h40,2h25,1h20,1h,2h20,3h20,1h25,1h40,N/A,2h25,Brastislava
Ljubljana,2h15,1h50,N/A,N/A,N/A,N/A,1h45,1h35,1h10,N/A,N/A,N/A,N/A,N/A,N/A,1h40,N/A,N/A,N/A,N/A,N/A,N/A,1h25,N/A,N/A,0h50,N/A,N/A,N/A,1h30,1h05,N/A,N/A,N/A,N/A,1h10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0h50,N/A,N/A,N/A,N/A,N/A,2h20,Ljubljana
Zagreb,2h10,1h50,N/A,1h25,N/A,0h50,1h50,1h50,1h20,N/A,N/A,N/A,1h50,N/A,2h45,1h40,N/A,N/A,N/A,0h50,N/A,N/A,1h15,N/A,N/A,1h10,N/A,N/A,0h50,1h30,N/A,N/A,N/A,N/A,0h55,1h20,N/A,N/A,1h55,N/A,N/A,N/A,N/A,1h05,N/A,N/A,1h15,N/A,N/A,2h20,Zagreb
Belgrade,2h40,2h20,1h45,1h30,3h,1h05,2h15,2h10,1h40,3h50,2h30,2h45,2h10,N/A,N/A,1h45,0h55,1h55,1h05,1h05,1h20,1h05,N/A,1h10,1h10,N/A,N/A,N/A,0h50,1h10,0h45,0h55,2h55,2h,N/A,1h40,N/A,N/A,2h,N/A,1h50,2h35,2h05,1h25,N/A,N/A,1h40,N/A,N/A,2h,Belgrade
Sofia,2h55,2h45,2h15,1h45,3h35,1h30,2h45,2h35,2h10,N/A,N/A,N/A,2h35,N/A,3h30,2h,1h20,1h50,N/A,1h30,N/A,0h50,1h10,N/A,1h15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2h25,N/A,N/A,2h10,N/A,N/A,1h50,N/A,2h15,2h50,1h50,1h50,N/A,N/A,2h05,2h15,N/A,1h20,Sofia
Bucharest,3h05,2h50,2h10,2h15,3h45,1h35,2h45,2h40,2h20,4h20,2h45,3h15,2h35,N/A,3h30,1h50,1h20,1h50,N/A,1h35,N/A,N/A,1h25,1h05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1h25,2h30,N/A,N/A,2h20,0h50,N/A,2h15,N/A,2h30,3h15,2h,1h55,3h15,4h,2h10,N/A,N/A,1h20,Bucharest
Tallinn,2h45,2h50,1h55,3h15,N/A,2h25,2h20,2h30,2h55,N/A,1h,1h30,1h30,0h30,3h05,1h45,N/A,N/A,N/A,2h25,N/A,N/A,N/A,N/A,N/A,N/A,0h50,1h10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2h55,N/A,N/A,N/A,N/A,N/A,4h05,N/A,2h25,N/A,N/A,3h,N/A,N/A,3h40,Tallinn
